title,institution,level,language,n_enrolled,price,price_certificate
The Business of Aging in the Longevity Economy,Georgetown University,Introductory,English,0,FREE-Add a Verified Certificate for $139 USD,139.0
Understanding the Australian Health Care System,The University of Queensland,Introductory,English,"8,343",FREE-Add a Verified Certificate for $59 USD,59.0
Age of Sustainable Development,SDG Academy,Intermediate,English,"10,019",FREE-Add a Verified Certificate for $49 USD,49.0
Internationalization: Creating Digital Content for the World,University of Washington,Advanced,English,0,FREE-Add a Verified Certificate for $199 USD,199.0
Multi-Object Tracking for Automotive Systems,Chalmers University of Technology,Advanced,English,"8,581",FREE-Add a Verified Certificate for $249 USD,249.0
Economics and Policies in a Biobased Economy,Wageningen University & Research,Advanced,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
Strategic Leadership in Healthcare,Doane University,Intermediate,English,"6,237",FREE-Add a Verified Certificate for $199 USD,199.0
Terrorism and Counterterrorism: An Introduction,Georgetown University,Introductory,English,"14,128",FREE-Add a Verified Certificate for $49 USD,49.0
Exploring Psychology's Core Concepts|走进心理学,Tsinghua University,Introductory,English,"5,741",FREE-Add a Verified Certificate for $139 USD,139.0
Creating Virtual Reality (VR) Apps,"The University of California, San Diego",Intermediate,English,"22,349",FREE-Add a Verified Certificate for $99 USD,99.0
Análisis Multivariable en SPSS,Universidad Galileo,Introductory,Español,0,FREE-Add a Verified Certificate for $49 USD,49.0
Steps in Japanese for Beginners2 Part1,Waseda University,Introductory,English,0,FREE-Add a Verified Certificate for $99 USD,99.0
"Competencias para buscar, mantener y promocionar en un empleo",Universidad Autónoma de Madrid,Introductory,Español,0,FREE-Add a Verified Certificate for $49 USD,49.0
Dynamics and Control,Universitat Politècnica de Valencia,Introductory,English,"27,763",FREE-Add a Verified Certificate for $50 USD,50.0
Finding Your Cybersecurity Career Path,University of Washington,Introductory,English,"19,283",FREE-Add a Verified Certificate for $199 USD,199.0
Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,Universidad Carlos III de Madrid,Introductory,Español,"12,674",FREE-Add a Verified Certificate for $29 USD,29.0
Mechanics: Rotational Dynamics,Massachusetts Institute of Technology,Intermediate,English,"13,183",FREE-Add a Verified Certificate for $49 USD,49.0
Applying Health Coaching in Patient Care,Doane University,Introductory,English,0,FREE-Add a Verified Certificate for $199 USD,199.0
Databases: Modeling and Theory,Stanford University,Introductory,English,0,FREE-Add a Verified Certificate for $50 USD,50.0
"Islamic Banking: Principles, Practice and Risk Management",The Islamic Research and Training Institute,Introductory,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Liderazgo orientado al florecimiento humano,Tecnológico de Monterrey,Introductory,Español,"7,911",FREE-Add a Verified Certificate for $149 USD,149.0
Software Construction: Object-Oriented Design,University of British Columbia,Intermediate,English,"23,100",FREE-Add a Verified Certificate for $125 USD,125.0
"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",The Linux Foundation,Introductory,English,0,FREE-Add a Verified Certificate for $199 USD,199.0
Fondements de l’économie sociale et solidaire,Université catholique de Louvain,Intermediate,Français,0,FREE-Add a Verified Certificate for $50 USD,50.0
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,Columbia University,Introductory,English,"17,941",FREE-Add a Verified Certificate for $50 USD,50.0
Innovation Strategies for Electric Mobility: The StreetScooter Case,RWTH Aachen University,Intermediate,English,0,FREE-Add a Verified Certificate for $99 USD,99.0
Sustainable Energy,Massachusetts Institute of Technology,Advanced,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
Designing and Leading Learning Systems,The University of Michigan,Advanced,English,"11,895",FREE-Add a Verified Certificate for $199 USD,199.0
How the U.S. Government Works & How to Get Involved,Georgetown University,Introductory,English,"5,930",FREE-Add a Verified Certificate for $49 USD,49.0
Inspiring and Motivating Arts and Culture Teams,The University of Michigan,Introductory,English,"10,817",FREE-Add a Verified Certificate for $49 USD,49.0
Principles of Microeconomics: An Economist Way of Thinking,The University of Queensland,Intermediate,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
A System View of Communications: From Signals to Packets (Part 1),The Hong Kong University of Science and Technology,Introductory,English,"34,261",FREE-Add a Verified Certificate for $60 USD,60.0
"Invasions, Rebellions, and the Fall of Imperial China",Harvard University,Introductory,English,"41,537",FREE-Add a Verified Certificate for $139 USD,139.0
AP® English Literature & Composition – Part 3: Plays,"University of California, Berkeley",Introductory,English,"6,443",FREE-Add a Verified Certificate for $49 USD,49.0
Cómo implantar grupos de mejora de procesos,Universitat Politècnica de Valencia,Introductory,Español,"28,100",FREE-Add a Verified Certificate for $150 USD,150.0
Proteins: Biology's Workforce,Rice University,Intermediate,English,"25,893",FREE-Add a Verified Certificate for $169 USD,169.0
Introducción a los ritmos y relojes biológicos,Universidad Nacional de Córdoba,Introductory,Español,"6,149",FREE-Add a Verified Certificate for $50 USD,50.0
Linear Algebra I: Linear Equations,The Georgia Institute of Technology,Intermediate,English,0,FREE-Add a Verified Certificate for $199 USD,199.0
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",École polytechnique fédérale de Lausanne,Advanced,English,"10,205",FREE-Add a Verified Certificate for $169 USD,169.0
Fundamentos de Electromagnetismo para Ingeniería,Universitat Politècnica de Valencia,Introductory,Español,"15,040",FREE-Add a Verified Certificate for $49 USD,49.0
Sustainable Food Systems: A Mediterranean Perspective,SDG Academy,Intermediate,English,"6,480",FREE-Add a Verified Certificate for $49 USD,49.0
Scripting and Programming Foundations,Western Governors University,Introductory,English,0,FREE-Add a Verified Certificate for $299.70 USD,299.7
Using GPUs to Scale and Speed-up Deep Learning,IBM,Intermediate,English,"9,294",FREE-Add a Verified Certificate for $99 USD,99.0
StudioX: Creating a Course with edX Studio,edX,Introductory,English,"20,355",FREE-Add a Verified Certificate for $99 USD,99.0
The Power of Data,Rolls-Royce,Introductory,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Introducción a las ondas gravitacionales,Universidad Nacional de Córdoba,Introductory,Español,"8,657",FREE-Add a Verified Certificate for $50 USD,50.0
Drones and Autonomous Systems 2: Applications in Emergency Management,University of Maryland Global Campus-University System of Maryland,Intermediate,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
MathTrackX: Differential Calculus,University of Adelaide,Introductory,English,0,FREE-Add a Verified Certificate for $79 USD,79.0
Global China: From the Mongols to the Ming,Harvard University,Introductory,English,"41,902",FREE-Add a Verified Certificate for $139 USD,139.0
Leaders in Citizen Security and Justice Management for the Caribbean,Inter-American Development Bank,Intermediate,English,0,FREE-Add a Verified Certificate for $25 USD,25.0
Pattern Studying and Making | 图案审美与创作,Tsinghua University,Introductory,中文,0,FREE-Add a Verified Certificate for $139 USD,139.0
Computational Neuroscience: Neuronal Dynamics of Cognition,École polytechnique fédérale de Lausanne,Advanced,English,"11,246",FREE-Add a Verified Certificate for $139 USD,139.0
Cities and the Challenge of Sustainable Development,SDG Academy,Introductory,English,"8,775",FREE-Add a Verified Certificate for $25 USD,25.0
MathTrackX: Special Functions,University of Adelaide,Introductory,English,0,FREE-Add a Verified Certificate for $79 USD,79.0
