title,institution,level,language,n_enrolled,price,price_certificate
MathTrackX: Statistics,University of Adelaide,Introductory,English,0,FREE-Add a Verified Certificate for $79 USD,79.0
Técnicas Cuantitativas y Cualitativas para la Investigación,Universitat Politècnica de Valencia,Intermediate,Español,"29,885",FREE-Add a Verified Certificate for $65 USD,65.0
Strategic Applications of IT Project & Program Management,University of Washington,Introductory,English,"17,914",FREE-Add a Verified Certificate for $199 USD,199.0
Advanced Bioconductor,Harvard University,Advanced,English,"26,063",FREE-Add a Verified Certificate for $149 USD,149.0
What Every Provider Should Know: Clinical Fundamentals,Stanford University,Introductory,English,0,FREE-Add a Verified Certificate for $50 USD,50.0
Análisis e interpretación de información económica y financiera,Pontificia Universidad Javeriana,Intermediate,Español,"5,891",FREE-Add a Verified Certificate for $49 USD,49.0
AWS IoT: Developing and Deploying an Internet of Things,Amazon Web Services,Intermediate,English,"8,884",FREE-Add a Verified Certificate for $99 USD,99.0
Measuring Sustainable Development,SDG Academy,Intermediate,English,0,FREE-Add a Verified Certificate for $25 USD,25.0
Embedded Systems - Shape The World: Multi-Threaded Interfacing,The University of Texas at Austin,Intermediate,English,"27,814",FREE-Add a Verified Certificate for $49 USD,49.0
Hong Kong Cinema through a Global Lens | 全球化下的香港电影,University of Hong Kong,Introductory,English,"12,458",FREE-Add a Verified Certificate for $50 USD,50.0
Image Processing and Analysis for Life Scientists,École polytechnique fédérale de Lausanne,Intermediate,English,"8,621",FREE-Add a Verified Certificate for $199 USD,199.0
La protección del menor,Universidad Autónoma de Madrid,Introductory,Español,"7,654",FREE-Add a Verified Certificate for $49 USD,49.0
Globalization: Past and Future,SDG Academy,Introductory,English,"10,127",FREE-Add a Verified Certificate for $25 USD,25.0
Star Trek: Inspiring Culture and Technology,The Smithsonian Institution,Introductory,English,"6,521",FREE-Add a Verified Certificate for $40 USD,40.0
Qué funciona en educación: políticas educativas basadas en evidencia,Inter-American Development Bank,Introductory,Español,"15,701",FREE-Add a Verified Certificate for $25 USD,25.0
"Introduction to Cloud Development with HTML5, CSS3, and JavaScript",IBM,Introductory,English,0,FREE-Add a Verified Certificate for $99 USD,99.0
Tools for Academic Engagement in Public Policy,Massachusetts Institute of Technology,Introductory,English,"5,035",FREE-Add a Verified Certificate for $199 USD,199.0
Theory of Change for Development,Wits University,Introductory,English,"10,736",FREE-Add a Verified Certificate for $199 USD,199.0
Monozukuri: Making Things,Tokyo Institute of Technology,Introductory,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Drug Discovery & Medicinal Chemistry,Davidson College,Intermediate,English,0,FREE-Add a Verified Certificate for $99 USD,99.0
Digital Biomaterials,University of Hong Kong,Introductory,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
Natural Resources for Sustainable Development,SDG Academy,Intermediate,English,"9,668",FREE-Add a Verified Certificate for $49 USD,49.0
Omnichannel Strategy and Management,Dartmouth College,Intermediate,English,"15,860",FREE-Add a Verified Certificate for $99 USD,99.0
General Overview of Cannabis and the Industry’s Outlook and Professions,Doane University,Introductory,English,"5,048",FREE-Add a Verified Certificate for $199 USD,199.0
Amazon SageMaker: Simplifying Machine Learning Application Development,Amazon Web Services,Intermediate,English,"11,765",FREE-Add a Verified Certificate for $99 USD,99.0
Formulación y nomenclatura de compuestos químicos,Universitat Politècnica de Valencia,Introductory,Español,"12,748",FREE-Add a Verified Certificate for $49 USD,49.0
Introducción a la factura electrónica,LOGYCA,Intermediate,Español,"5,829",FREE-Add a Verified Certificate for $49.90 USD,49.9
Demand and Supply Analytics,Columbia University,Intermediate,English,"23,585",FREE-Add a Verified Certificate for $249 USD,249.0
Advanced Algorithmics and Graph Theory with Python,IMT,Intermediate,English,"13,502",FREE-Add a Verified Certificate for $49 USD,49.0
Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,Tokyo Institute of Technology,Intermediate,English,0,FREE-Add a Verified Certificate for $59 USD,59.0
Diagramas UML estructurales para la Ingeniería del Software,Universitat Politècnica de Valencia,Introductory,Español,"5,820",FREE-Add a Verified Certificate for $50 USD,50.0
"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",Imperial College London,Intermediate,English,"6,232",FREE-Add a Verified Certificate for $49 USD,49.0
Fundamentos de Mecánica para Ingeniería,Universitat Politècnica de Valencia,Introductory,Español,"14,219",FREE-Add a Verified Certificate for $49 USD,49.0
Leadership and Management for PM Practitioners in IT,University of Washington,Introductory,English,"21,949",FREE-Add a Verified Certificate for $199 USD,199.0
Entrepreneurship 103: Show Me The Money,Massachusetts Institute of Technology,Introductory,English,"15,184",FREE-Add a Verified Certificate for $300 USD,300.0
Historia de la ética,Universidad Carlos III de Madrid,Introductory,Español,"9,383",FREE-Add a Verified Certificate for $29 USD,29.0
Drainage in Agriculture: controlling water and salt levels in the soil,Wageningen University & Research,Advanced,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Radio para internet con Podcast: creación y conceptos básicos,Universitat Politècnica de Valencia,Introductory,Español,"6,460",FREE-Add a Verified Certificate for $50 USD,50.0
Introducción a los circuitos eléctricos,Universidad Galileo,Intermediate,Español,"11,953",FREE-Add a Verified Certificate for $49 USD,49.0
AP® Physics 1: Challenging Concepts,Davidson Next,Introductory,English,"12,145",FREE-Add a Verified Certificate for $49 USD,49.0
Introduction to Java Programming – Part 2,The Hong Kong University of Science and Technology,Introductory,English,"71,203",FREE-Add a Verified Certificate for $99 USD,99.0
AP® Macroeconomics,Davidson Next,Introductory,English,"29,433",FREE-Add a Verified Certificate for $49 USD,49.0
Climate Change Education,Inter-American Development Bank,Introductory,English,"12,056",FREE-Add a Verified Certificate for $25 USD,25.0
"Introducción al griego clásico: verbos, oraciones y filosofía",Universidad Autónoma de Madrid,Introductory,Español,0,FREE-Add a Verified Certificate for $49 USD,49.0
Applied Deep Learning Capstone Project,IBM,Advanced,English,"8,429",FREE-Add a Verified Certificate for $99 USD,99.0
FinTech Ethics and Risks,University of Hong Kong,Introductory,English,"10,696",FREE-Add a Verified Certificate for $199 USD,199.0
User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,Tsinghua University,Advanced,English,"23,828",FREE-Add a Verified Certificate for $139 USD,139.0
The Conquest of Space: Space Exploration and Rocket Science,Universidad Carlos III de Madrid,Introductory,English,"19,926",FREE-Add a Verified Certificate for $129 USD,129.0
Business Strategy and Operations in a Biobased Economy,Wageningen University & Research,Advanced,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
What Works in Education: Evidence-Based Education Policies,Inter-American Development Bank,Introductory,English,"5,540",FREE-Add a Verified Certificate for $25 USD,25.0
Electric Cars: Business,Delft University of Technology,Intermediate,English,"14,199",FREE-Add a Verified Certificate for $50 USD,50.0
Thermodynamics of Materials,Massachusetts Institute of Technology,Intermediate,English,0,FREE-Add a Verified Certificate for $150 USD,150.0
Mechanics: Momentum and Energy,Massachusetts Institute of Technology,Intermediate,English,"14,846",FREE-Add a Verified Certificate for $49 USD,49.0
Co-Creating Sustainable Cities,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Advanced,English,"12,415",FREE-Add a Verified Certificate for $49 USD,49.0
Cómo educar teniendo en cuenta la muerte,Universidad Autónoma de Madrid,Introductory,Español,0,FREE-Add a Verified Certificate for $49 USD,49.0
Introduction to Animal Ethics,Kyoto University,Introductory,English,"6,608",FREE-Add a Verified Certificate for $49 USD,49.0
Teamwork & Collaboration,Rochester Institute of Technology,Introductory,English,0,FREE-Add a Verified Certificate for $199 USD,199.0
Grant Writing and Crowdfunding for Public Libraries,The University of Michigan,Introductory,English,"12,853",FREE-Add a Verified Certificate for $49 USD,49.0
Leading Ambitious Teaching and Learning,The University of Michigan-Microsoft Education,Advanced,English,"24,273",FREE-Add a Verified Certificate for $199 USD,199.0
Financing Innovative Ventures,"The University of Maryland, College Park-University System of Maryland",Introductory,English,0,FREE-Add a Verified Certificate for $149 USD,149.0
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",Imperial College London,Intermediate,English,0,FREE-Add a Verified Certificate for $49 USD,49.0
Theories of Media and Technology,New York University,Introductory,English,0,FREE-Add a Verified Certificate for $249 USD,249.0
Introducción a la Estructura de la Materia,Universitat Politècnica de Valencia,Introductory,Español,"11,859",FREE-Add a Verified Certificate for $25 USD,25.0
"Batteries, Fuel Cells, and their Role in Modern Society",Ural Federal University,Introductory,English,"11,865",FREE-Add a Verified Certificate for $49 USD,49.0
Communication Skills for Dialoguing Across Difference,Catalyst,Introductory,English,"60,943",FREE-Add a Verified Certificate for $25 USD,25.0
Social Media: How Media Got Social,Curtin University,Introductory,English,"13,616",FREE-Add a Verified Certificate for $139 USD,139.0
"Portfolio Management, Governance, & the PMO",University of Washington,Introductory,English,"17,299",FREE-Add a Verified Certificate for $199 USD,199.0
edX101: Overview of Creating an edX Course,edX,Introductory,English,"22,327",FREE-Add a Verified Certificate for $99 USD,99.0
"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",Universidad Autónoma de Madrid,Introductory,Español,0,FREE-Add a Verified Certificate for $49 USD,49.0
Data Analysis for Decision Making,"The University of Maryland, College Park-University System of Maryland",Advanced,English,"8,342",FREE-Add a Verified Certificate for $214 USD,214.0
UML Class Diagrams for Software Engineering,KU Leuven University,Introductory,English,"33,710",FREE-Add a Verified Certificate for $49 USD,49.0
Driving Digital Innovation through Experimentation,Boston University,Advanced,English,"16,904",FREE-Add a Verified Certificate for $399 USD,399.0
Compilation Basics for Macroeconomic Statistics,The International Monetary Fund,Introductory,English,"6,570",FREE-Add a Verified Certificate for $25 USD,25.0
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,Inter-American Development Bank,Introductory,Español,"20,189",FREE-Add a Verified Certificate for $25 USD,25.0
From Fossil Resources to Biomass: A Chemistry Perspective,Wageningen University & Research,Advanced,English,"5,464",FREE-Add a Verified Certificate for $149 USD,149.0
System Dynamics for Health Sciences,Wits University,Intermediate,English,"15,157",FREE-Add a Verified Certificate for $139 USD,139.0
Internet de las cosas (IoT) y Big Data,Universidad del Rosario,Intermediate,Español,0,FREE-Add a Verified Certificate for $49 USD,49.0
