id,title,level,n_enrolled,n_lectures,date,price
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",All Levels,6451,28,2014-04-16,125
401784,Options Trading Introduction: Day Trade Stock Options,Basic,12394,30,2015-02-20,95
1122792,The Almost Perfect Options Trading Strategy System - Unique,All Levels,1793,15,2017-03-03,200
709500,Forex Trading -  Learn to Trade Forex Like the Banks,All Levels,3223,23,2016-03-30,20
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,Basic,16385,45,2014-09-02,60
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,All Levels,1487,18,2017-03-08,200
834558,What Finance Job is for You? Explanation of 14 Finance Roles,All Levels,2951,60,2016-05-04,200
551968,The Blueprint for Successful Stock Trading,All Levels,2697,15,2015-08-13,120
1005658,Trading for Beginners - Intermediate Level,Basic,3979,39,2016-11-09,150
746432,Start Trading Stocks Using Technical Analysis!,All Levels,3190,45,2016-02-03,25
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Advanced,1406,54,2017-01-18,200
284118,VPS for Forex Trading - Protect Your Forex Robots,All Levels,4252,24,2014-09-19,160
302562,Introduction to Accounting: The Language of Business,Basic,11958,134,2014-10-02,20
596598,Basic Excel for Basic Bookkeeping and Accounting,Basic,7743,33,2015-09-10,95
860890,"Using 'The Greeks To Understand Options""",All Levels,2134,5,2016-07-13,50
951050,Trading Options For Consistent Returns: Calendar Spreads,All Levels,1214,20,2016-10-07,200
796450,How to Create Your Personal Budget,All Levels,3870,10,2016-03-21,20
502772,The Complete Value Investing Course: A Proven Approach,All Levels,2146,49,2015-06-16,200
1102462,FOREX Trading with Price Action,Basic,484,19,2017-03-14,195
1062092,Emini ES Futures - Advanced Non Directional Options Trading,All Levels,1057,14,2017-01-11,200
891484,Forex Trading - Advanced Fundamental Analysis,Intermediate,1754,49,2016-06-30,20
1217064,How To Invest With Tiny Capital In Stocks ?,Basic,1239,6,2017-05-23,20
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,All Levels,2493,108,2015-01-31,95
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Basic,2602,57,2015-10-28,150
474928,Intermediate Options trading concepts for Stocks and Options,All Levels,2000,9,2015-04-13,40
1148774,Options Trading 101: The Basics,Basic,1514,11,2017-03-23,0
959144,Practical Accounts APP Overview,Intermediate,1361,14,2016-10-04,20
1233350,Bitcoin Profits for Beginners,Basic,61,30,2017-06-09,100
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,All Levels,1513,60,2015-08-04,75
724062,Financial Statements Basics,Basic,1374,9,2016-01-14,20
474212,High performance Stock Trading using key Options techniques,All Levels,2103,6,2015-04-12,40
771276,Introduction to Financial Statement Analysis,Basic,1480,25,2016-03-21,20
388164,Basics of Economics (College Level),All Levels,2516,20,2015-01-08,25
133536,Stock Market Investing for Beginners,Basic,50855,15,2013-12-25,0
655300,Accounting for Beginners : Learn Basics in under 1 Hour,Basic,1971,20,2015-12-03,50
949504,Straddle Options Trading - Profit in Any Market Direction,All Levels,837,19,2016-10-03,200
265960,Fundamentals of Forex Trading,All Levels,17160,23,2014-08-29,0
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",Basic,1723,24,2015-12-14,195
923616,Website Investing 101 - Buying & Selling Online Businesses,All Levels,6811,51,2016-08-05,0
741898,Practical Accounts & Bookkeeping Automated Overview ,All Levels,2060,30,2016-01-28,20
381330,Live Account - ETF Trading System - Hacking The Stock Market,All Levels,2318,16,2014-12-31,150
545918,Stock Market Leverage: How to Start Trading Options Wisely,Basic,2153,13,2015-07-27,95
191854,Stock Market Foundations,Basic,19339,9,2014-03-31,0
471546,Crash Course on Working Capital Management,All Levels,3177,8,2015-04-16,20
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,All Levels,1535,462,2016-06-03,150
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,All Levels,1027,25,2016-07-18,20
1191504,How to create a routine Trading,All Levels,307,5,2017-05-01,25
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",All Levels,2096,29,2015-08-24,150
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,Basic,1315,59,2015-11-18,50
151668,Introduction to Financial Modeling,Intermediate,29167,8,2014-05-27,0
1105344,Quantitative Aptitude for Banking & Competitive Examinations,All Levels,1056,42,2017-02-09,50
44836,Option Spreads and Credit Spreads Bundle,Advanced,2212,24,2013-03-05,180
840300,B Com Accountancy I (Paper ECO 02 IGNOU),All Levels,2946,284,2016-05-05,50
1100054,FOREX TRADING - Learn in a quick + profitable way + support,All Levels,271,47,2017-02-20,100
421054,Auditing Basics (Professional Course Level),All Levels,3771,35,2015-02-13,25
528784,Stock market Investing Encyclopedia: How to invest in stocks,Intermediate,3143,39,2015-11-10,200
637430,Learn the basics of preparing accounting statements,Intermediate,1951,20,2015-10-13,20
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,Advanced,4022,14,2016-12-15,90
777444,Corporate Finance - A Brief Introduction,Basic,11724,17,2016-03-04,0
474238,Excel functions to analyze and visualize data,Intermediate,2283,16,2015-04-20,20
1245244,Building Financial Statements in Excel,Basic,1181,18,2017-06-29,35
