id,title,institution,rating
autism-spectrum-disorder,Autism Spectrum Disorder,"University of California, Davis",5.0
data-science-methodology,Data Science Methodology,IBM,5.0
wharton-accounting,Introduction to Financial Accounting,University of Pennsylvania,5.0
marketing-digital,Marketing in a Digital World,University of Illinois at Urbana-Champaign,5.0
wind-energy,Wind Energy,Technical University of Denmark (DTU),5.0
sustainable-finance,Principles of Sustainable Finance,Erasmus University Rotterdam,5.0
financial-engineering-1,Financial Engineering and Risk Management Part I,Columbia University,5.0
philosophy,Introduction to Philosophy,The University of Edinburgh,5.0
analytics-business-metrics,Business Metrics for Data-Driven Companies,Duke University,5.0
python-basics,Python Basics,University of Michigan,5.0
sustainability,Introduction to Sustainability,University of Illinois at Urbana-Champaign,5.0
positive-psychiatry,Positive Psychiatry and Mental Health,The University of Sydney,5.0
crypto,Cryptography I,Stanford University,5.0
teach-online,Learning to Teach Online,UNSW Sydney (The University of New South Wales),5.0
it-security,IT Security: Defense against the digital dark arts,Google,5.0
entreprise-changement-climatique,Entreprise et changement climatique,ESSEC Business School,5.0
neuromarketing,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,5.0
gamification,Gamification,University of Pennsylvania,5.0
contabilidad,Contabilidad para no contadores,Universidad Nacional Autónoma de México,5.0
python-operating-system,Using Python to Interact with the Operating System,Google,5.0
cs-fundamentals-1,Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,5.0
gcp-big-data-ml-fundamentals,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,5.0
sql-data-science,Databases and SQL for Data Science,IBM,5.0
natural-language-processing-tensorflow,Natural Language Processing in TensorFlow,DeepLearning.AI,5.0
advanced-valuation-and-strategy,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,5.0
probabilistic-models-in-nlp,Natural Language Processing with Probabilistic Models,DeepLearning.AI,5.0
vital-signs,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,5.0
research-methods,Understanding Research Methods,University of London,5.0
ibm-customer-engagement-specialist,IBM Customer Engagement Specialist Professional Certificate,IBM,5.0
introduction-to-calculus,Introduction to Calculus,The University of Sydney,5.0
camino-excelencia-gestion-proyectos,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,5.0
html,Introduction to HTML5,University of Michigan,4.0
wine,Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",5.0
excel-intermediate-1,Excel Skills for Business: Intermediate I,Macquarie University,5.0
duke-programming-web,"Programming Foundations with JavaScript, HTML and CSS",Duke University,5.0
build-a-computer,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,5.0
food-beverage-management,Food & Beverage Management,Università Bocconi,5.0
data-analysis-with-python,Data Analysis with Python,IBM,5.0
project-planning-1,Project Planning,"University of California, Irvine",5.0
uva-darden-getting-started-agile,Agile Meets Design Thinking,University of Virginia,5.0
aws-fundamentals-going-cloud-native,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,5.0
construction-project-management,Construction Project Management,Columbia University,5.0
mathematical-thinking,Introduction to Mathematical Thinking,Stanford University,5.0
everyday-parenting,Everyday Parenting: The ABCs of Child Rearing,Yale University,5.0
intro-to-healthcare,Introduction to Healthcare,Stanford University,4.0
machine-learning-with-python,Machine Learning with Python,IBM,5.0
terrorism,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,5.0
clinical-data-management,Data Management for Clinical Research,Vanderbilt University,5.0
sustainable-fashion,Sustainable Fashion,Copenhagen Business School,5.0
data-science-k-means-clustering-python,Foundations of Data Science: K-Means Clustering in Python,University of London,5.0
instructional-design-foundations-applications,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,4.0
enlinea,Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,5.0
modern-art-ideas,Modern Art & Ideas,The Museum of Modern Art,5.0
speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,5.0
gcp-infrastructure-foundation,Essential Google Cloud Infrastructure: Foundation,Google Cloud,5.0
introduction-to-ai,Introduction to Artificial Intelligence (AI),IBM,5.0
